Timestamp,Your Phone,Your 4 digit ID,Quantity,Location,Measurement Value (db or lux)
1/28/2020 8:52:01,Android (all models),6520,Light Flux,Outdoors by GIX: Cloudy,2149
1/28/2020 8:52:21,Android (all models),6520,Light Flux,Outdoors by GIX: Cloudy,2259
1/28/2020 8:52:35,Android (all models),6520,Light Flux,Outdoors by GIX: Cloudy,1978
1/28/2020 9:44:23,iPhone (all models),9848,Light Flux,breakfast table,109
1/28/2020 9:45:43,iPhone (all models),9848,Light Flux,In the car,28
1/28/2020 12:59:23,iPhone (all models),9848,Light Flux,Outdoors by GIX: Sunny,2770
1/28/2020 13:04:40,iPhone (all models),5247,Light Flux,breakfast table,175
1/28/2020 13:06:20,iPhone (all models),5247,Light Flux,In class (on writing desk),205
1/28/2020 13:06:48,iPhone (all models),5247,Light Flux,In class (on writing desk),205
1/28/2020 13:48:49,Android (all models),5103,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",557
1/28/2020 13:49:12,Android (all models),5103,Light Flux,In class (on writing desk),349
1/28/2020 14:12:27,iPhone (all models),5247,Light Flux,Outdoors by GIX: Cloudy,1266
1/28/2020 17:30:34,iPhone (all models),2446,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Sunny,57.6
1/28/2020 17:33:10,iPhone (all models),2446,"Sound pressure level, SPL(dBA)",your bed at night,40.4
1/28/2020 17:34:07,iPhone (all models),5247,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",228
1/28/2020 17:34:31,iPhone (all models),2446,"Sound pressure level, SPL(dBA)",Starbucks at a table,43.2
1/28/2020 17:35:24,iPhone (all models),2446,"Sound pressure level, SPL(dBA)",In class (on writing desk),60.2
1/28/2020 17:36:26,iPhone (all models),2446,"Sound pressure level, SPL(dBA)",In the car,58.7
1/28/2020 17:37:22,iPhone (all models),2446,"Sound pressure level, SPL(dBA)",GIX Woodshop: No machines (SPL only),88.6
1/28/2020 17:40:00,iPhone (all models),2446,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",106.9
1/28/2020 17:43:41,iPhone (all models),2446,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",108.7
1/28/2020 17:44:29,iPhone (all models),2446,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),113.2
1/28/2020 21:02:04,Android (all models),4705,"Sound pressure level, SPL(dBA)",breakfast table,54
1/28/2020 21:02:35,Android (all models),4705,"Sound pressure level, SPL(dBA)",Starbucks at a table,53
1/28/2020 21:03:11,Android (all models),4705,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,55
1/28/2020 22:46:36,Android (all models),4705,Light Flux,your bed at night,4
1/28/2020 22:46:49,Android (all models),4705,Light Flux,your bed at night,5
1/28/2020 22:47:02,Android (all models),4705,Light Flux,your bed at night,5
1/28/2020 22:49:45,Android (all models),4705,"Sound pressure level, SPL(dBA)",your bed at night,30
1/28/2020 23:30:27,Android (all models),3171,"Sound pressure level, SPL(dBA)",your bed at night,19
1/29/2020 13:34:14,iPhone (all models),1735,Light Flux,breakfast table,48
1/29/2020 13:34:37,iPhone (all models),1735,Light Flux,In class (on writing desk),301
1/29/2020 13:34:58,iPhone (all models),1735,Light Flux,On a bus (Highway speed),256
1/29/2020 14:02:15,Android (all models),1918,"Sound pressure level, SPL(dBA)",your bed at night,33
1/29/2020 14:02:53,Android (all models),1918,"Sound pressure level, SPL(dBA)",In class (on writing desk),55
1/29/2020 14:08:08,Android (all models),3171,"Sound pressure level, SPL(dBA)",In class (on writing desk),54
1/29/2020 14:11:54,Android (all models),3171,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,67
1/29/2020 14:12:08,iPhone (all models),4264,"Sound pressure level, SPL(dBA)",In class (on writing desk),58
1/29/2020 14:13:39,Android (all models),1918,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,63
1/29/2020 15:03:10,iPhone (all models),4264,"Sound pressure level, SPL(dBA)",In the car,40.7
1/29/2020 15:39:18,Android (all models),4705,Light Flux,In class (on writing desk),439
